gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,up_down
CHLRE_01g051875v5,91.82304899120179,1.861928046282486,0.28669721204206644,6.494405833319682,8.336175175133865e-11,1.2635281692383507e-9,NONE
CHLRE_01g051950v5,742.8240135195201,1.306265846024233,0.14007440704526192,9.325514014863131,1.1044693062841916e-20,6.324237267337709e-19,NONE
CHLRE_01g052100v5,3965.790408360056,-1.4576676737902283,0.17115066116512084,-8.51686849391669,1.6392546083310736e-17,6.345762381687261e-16,NONE
CHLRE_01g052750v5,310.31295708347284,-1.0836831676418495,0.17520034867855797,-6.1853938979887255,6.194758984460028e-10,8.179164964990419e-9,NONE
CHLRE_01g052850v5,11.933075598467417,3.7433522166894133,0.8167588836364372,4.583179065066266,4.579595433776952e-6,2.860878624191532e-5,UP
CHLRE_01g053150v5,35.2533454042777,1.8190571539715925,0.4262752955268146,4.267329524042675,1.9782683898095098e-5,1.0689260817938606e-4,NONE
CHLRE_01g054050v5,2918.21068094344,-1.189825630429829,0.20894490264712837,-5.6944467912636165,1.2377257697283628e-8,1.3084189531147711e-7,NONE
CHLRE_01g054150v5,2037.5072782255913,-1.8321741233793802,0.19689128141501086,-9.305511702762967,1.3334867117726962e-20,7.570042294784764e-19,NONE
CHLRE_01g054600v5,44.07147076672544,2.0532587673244804,0.333093661733838,6.1642084590764705,7.083657525486296e-10,9.219936562967207e-9,UP
CHLRE_01g055050v5,60.50884238936776,1.434600330085944,0.30900431755704544,4.6426546445296895,3.43961014870983e-6,2.2157269907177268e-5,NONE
CHLRE_01g055200v5,173.02237533940027,1.0935336362209411,0.2062794042091652,5.301225492740464,1.1502790675069693e-7,1.0100773217389472e-6,NONE
CHLRE_01g055350v5,32.5288771925211,-1.416923276153961,0.36264280438461277,-3.90721464488565,9.336620635998644e-5,4.3298709479261426e-4,NONE
CHLRE_01g055408v5,7596.161719653167,-1.335725059720306,0.14174966660648627,-9.423126640773242,4.378515314405772e-21,2.597341584527539e-19,NONE
CHLRE_01g055966v5,27.582340086166383,-1.3771266556436395,0.4050061390128184,-3.400261188633621,6.732151338033074e-4,0.002497073947717126,NONE
CHLRE_01g057061v5,80.15538112287797,1.0045706910756471,0.30727966593371236,3.269239075820778,0.0010783714407750274,0.003795011402010452,NONE
CHLRE_01g059252v5,697.5463037076746,-1.223141468752342,0.15752318883532454,-7.764834357378454,8.175199414381031e-15,2.2453770163782958e-13,NONE
CHLRE_01g059617v5,340.97738458461373,-1.443482157007663,0.1759742808630552,-8.202801852226315,2.348481146584902e-16,7.995844203480777e-15,NONE
CHLRE_01g059982v5,512.6815593323822,-1.7670145670527204,0.1964104668666408,-8.996539722358543,2.3294377632981433e-19,1.146709198643274e-17,NONE
CHLRE_01g064727v5,12.446514178448608,2.6189636662657807,0.79713225190511,3.2854820012696466,0.001018080466401245,0.0036028251011637194,UP
CHLRE_01g065457v5,44.65048222279716,1.5838350494299496,0.2987212211085768,5.302050666344424,1.1450904856299678e-7,1.0063885364583572e-6,NONE
CHLRE_02g074200v5,1758.7791253426842,-2.4117487749525637,0.2985570511057418,-8.078016466267881,6.582871962204488e-16,2.1252101502598834e-14,DOWN
CHLRE_02g074350v5,202.9308598591392,-1.277501246335406,0.17846488539295105,-7.158277907290016,8.169680929127658e-13,1.6861853341957975e-11,NONE
CHLRE_02g074720v5,100.23556028210126,-2.8719534927786716,0.32761250240727385,-8.766312249000748,1.8461356681019296e-18,8.140273610339284e-17,DOWN
CHLRE_02g074758v5,116.89177737034954,-1.7913857954558727,0.2102043882634357,-8.522114168286741,1.5666684072767188e-17,6.093379411415181e-16,NONE
CHLRE_02g074800v5,110.86147719996943,2.8744791892846506,0.43906143944530196,6.5468723304788226,5.875454943055747e-11,9.158046074284719e-10,UP
CHLRE_02g074900v5,1032.3357895970678,-1.3157495278086735,0.16415661549827412,-8.015208670176968,1.0995018454965866e-15,3.434069116303828e-14,NONE
CHLRE_02g075000v5,3581.6618683523825,1.2287579385509173,0.15336497396115892,8.011985441096293,1.1287123153058758e-15,3.505385083184406e-14,NONE
CHLRE_02g075050v5,3109.7248014046054,1.355330432082898,0.28485747963464414,4.75792467805737,1.955934509453209e-6,1.3317636662011922e-5,NONE
